"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","As a user I want to check Home Page functionality","User selects some language and switches back","0","3","4","0","0"
"","As A user I want to send message","Send a message with invalid description less than 20 characters","0","0","2","0","0"
"","As a user I want to check Home Page functionality","Verify, that modal is closed","0","0","1","0","0"
"","As A user I want to send message and navigate to social media pages","Verify Social Media Navigation from Contact","0","6","3","0","0"
"","As A user I want to send message","Verify Social Media Navigation from Contact Information","0","1","3","0","0"
"","Careers page functionality","Verify accessing the Careers page","0","0","1","0","0"
"","As a user I want to change Language on Home Page","Changing the language on the page","1","0","0","0","0"
"","As A user I want to send message","Verify Social Media Navigation from Contact","0","1","0","0","0"
"","As A user I want to send message and navigate to social media pages","Send a message without checking the ""I Agree"" checkbox and receive an error","0","0","2","0","0"
"","Careers page functionality","Verify Applying for the Sales Specialist Position","0","2","0","0","0"
"","As A user I want to send message and navigate to social media pages","Send a message with invalid email format data","0","0","2","0","0"
"","As A user I want to send message and navigate to social media pages","Send a message with valid data","0","3","2","0","0"
"","As A user I want to send message and navigate to social media pages","Send a message with invalid description less than 20 characters","0","0","2","0","0"
"","As a user I want to check Home Page functionality","Verify Language Selection Functionality","0","1","5","0","0"
"","As A user I want to send message","Send a message with valid data","0","1","2","0","0"
"","As A user I want to send message","Send a message without checking the ""I Agree"" checkbox and receive an error","0","0","2","0","0"
"","As A user I want to send message","Send a message with invalid email format data","0","1","2","0","0"
"","As a user I want to change Language on Home Page","Verify Language Selection Functionality","0","1","1","0","0"
